Sl,Team,09,10,11,12,13,14,15,16,17,18
1,En Avant de Guingamp,21.0,21.0,21.0,21.0,20.0,18.333333333333332,18.0,17.0,16.444444444444443,16.8
2,Olympique Lyonnais,2.0,2.5,3.0,3.0,3.4,3.1666666666666665,3.0,3.125,3.111111111111111,3.1
3,Toulouse Football Club,14.0,11.0,10.0,10.0,9.8,11.0,11.857142857142858,12.0,12.666666666666666,13.0
4,Dijon FCO,21.0,21.0,20.333333333333332,20.5,20.6,20.666666666666668,20.714285714285715,20.125,19.11111111111111,19.0
5,Nîmes Olympique,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,19.8
6,Olympique de Marseille,1.0,1.5,4.333333333333333,3.75,4.2,4.166666666666667,5.428571428571429,5.375,5.222222222222222,5.2
7,AC Ajaccio,21.0,21.0,19.333333333333332,18.75,19.0,19.333333333333332,19.571428571428573,19.75,19.88888888888889,20.0
8,ESTAC Troyes,21.0,21.0,21.0,20.5,20.6,20.666666666666668,20.571428571428573,20.625,20.444444444444443,20.5
9,FC Metz,21.0,21.0,21.0,21.0,21.0,20.666666666666668,20.714285714285715,19.875,19.88888888888889,20.0
10,Boulogne,19.0,20.0,20.333333333333332,20.5,20.6,20.666666666666668,20.714285714285715,20.75,20.77777777777778,20.8
11,AS Nancy Lorraine,12.0,12.5,12.0,13.5,15.0,16.0,16.714285714285715,17.0,17.444444444444443,17.8
12,Stade de Reims,21.0,21.0,21.0,19.25,17.6,17.166666666666668,17.285714285714285,17.75,18.11111111111111,17.1
13,Ajaccio GFCO,21.0,21.0,21.0,21.0,21.0,21.0,20.714285714285715,20.75,20.77777777777778,20.8
14,Stade Malherbe Caen,21.0,18.0,18.0,18.75,19.2,18.166666666666668,16.571428571428573,16.625,16.555555555555557,16.8
15,Stade Rennais FC,9.0,7.5,7.0,8.5,9.2,9.166666666666666,9.0,9.0,8.555555555555555,8.7
16,Grenoble,20.0,20.5,20.666666666666668,20.75,20.8,20.833333333333332,20.857142857142858,20.875,20.88888888888889,20.9
17,Sporting Club de Bastia,21.0,21.0,21.0,18.75,17.0,16.166666666666668,15.285714285714286,15.875,16.444444444444443,16.9
18,AS Monaco,8.0,13.0,15.666666666666666,17.0,14.0,12.166666666666666,10.857142857142858,9.625,8.777777777777779,9.6
19,LOSC Lille,4.0,2.5,2.6666666666666665,3.5,3.4,4.166666666666667,4.285714285714286,5.125,6.444444444444445,6.0
20,Stade Brestois 29,21.0,18.5,17.333333333333332,18.0,18.6,19.0,19.285714285714285,19.5,19.666666666666668,19.8
21,Évian Thonon Gaillard FC,21.0,21.0,17.0,16.75,16.2,16.5,17.142857142857142,17.625,18.0,18.3
22,Le Mans,18.0,19.5,20.0,20.25,20.4,20.5,20.571428571428573,20.625,20.666666666666668,20.7
23,Angers SCO,21.0,21.0,21.0,21.0,21.0,21.0,19.285714285714285,18.375,17.88888888888889,17.4
24,Montpellier HSC,5.0,9.5,6.666666666666667,7.25,8.8,8.5,9.0,9.75,9.777777777777779,9.4
25,Paris Saint-Germain,13.0,8.5,6.333333333333333,5.0,4.2,3.6666666666666665,3.2857142857142856,3.125,2.888888888888889,2.7
26,Aries-Avignon,21.0,20.5,20.666666666666668,20.75,20.8,20.833333333333332,20.857142857142858,20.875,20.88888888888889,20.9
27,Amiens SC,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.11111111111111,19.6
28,FC Nantes,21.0,21.0,21.0,21.0,19.4,18.5,17.857142857142858,16.5,15.666666666666666,15.3
29,AS Saint-Étienne,17.0,13.5,11.333333333333334,9.75,8.6,8.0,7.714285714285714,7.75,7.666666666666667,7.3
30,RC Strasbourg Alsace,16.0,10.5,11.666666666666666,12.5,13.6,14.833333333333334,15.714285714285714,16.375,16.88888888888889,17.3
31,FC Girondins de Bordeaux,6.0,6.5,6.0,6.25,6.4,6.333333333333333,7.0,6.875,6.777777777777778,7.5
32,FC Lorient,7.0,9.0,11.666666666666666,10.75,10.2,11.166666666666666,11.714285714285714,12.5,13.444444444444445,14.2
33,Valenciennes,10.0,11.0,11.333333333333334,11.25,12.8,14.166666666666666,15.142857142857142,15.875,16.444444444444443,16.9
34,OGC Nice,15.0,16.0,15.0,12.25,13.2,12.833333333333334,11.571428571428571,10.5,10.222222222222221,9.9
35,Auxerre,3.0,6.0,10.666666666666666,13.25,14.8,15.833333333333334,16.571428571428573,17.125,17.555555555555557,17.9
36,Strasbourg,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.333333333333332,19.4
37,Racing Club de Lens,11.0,15.0,17.0,18.0,18.6,18.833333333333332,19.142857142857142,19.375,19.555555555555557,19.7
